Screen ID,Screen Name,Module,Phase,Primary Template,Primary Table/View,Notes
TR-006,Trailer Type Configuration,Trailer,P1,Master/Form,trailer_master,Generated from BRD screen inventory
TR-007,Trailer Compliance Documents,Trailer,P1,Detail/Workbench,trailer_master,Generated from BRD screen inventory
TR-008,Trailer Inspection Checklist,Trailer,P1,List/Grid,trailer_master,Generated from BRD screen inventory
TR-009,Trailer Maintenance History,Trailer,P1,Detail/Workbench,trailer_master,Generated from BRD screen inventory
TR-010,Trailer Tyre Mapping,Trailer,P1,Detail/Workbench,trailer_master,Generated from BRD screen inventory
TR-011,Trailer Availability View,Trailer,P1,Detail/Workbench,trailer_master,Generated from BRD screen inventory
TR-012,Trailer Import,Trailer,P1,Detail/Workbench,trailer_master,Generated from BRD screen inventory
TR-013,Trailer Export,Trailer,P1,Detail/Workbench,trailer_master,Generated from BRD screen inventory
CT-001,Current Vehicle-Trailer Mapping,Coupling,P1,Detail/Workbench,"vehicle_trailer_coupling, vehicle_master, trailer_master",Generated from BRD screen inventory
CT-002,Couple Vehicle and Trailer,Coupling,P1,Detail/Workbench,"vehicle_trailer_coupling, vehicle_master, trailer_master",Generated from BRD screen inventory
CT-003,Decouple Vehicle and Trailer,Coupling,P1,Detail/Workbench,"vehicle_trailer_coupling, vehicle_master, trailer_master",Generated from BRD screen inventory
CT-004,Coupling History,Coupling,P1,Detail/Workbench,"vehicle_trailer_coupling, vehicle_master, trailer_master",Generated from BRD screen inventory
CT-005,Coupling Inspection,Coupling,P1,Detail/Workbench,"vehicle_trailer_coupling, vehicle_master, trailer_master",Generated from BRD screen inventory
CT-006,Decoupling Inspection,Coupling,P1,Detail/Workbench,"vehicle_trailer_coupling, vehicle_master, trailer_master",Generated from BRD screen inventory
CT-007,Trailer Suitability Check,Coupling,P1,Detail/Workbench,"vehicle_trailer_coupling, vehicle_master, trailer_master",Generated from BRD screen inventory
CT-008,Coupling Exception View,Coupling,P1,Detail/Workbench,"vehicle_trailer_coupling, vehicle_master, trailer_master",Generated from BRD screen inventory
FE-001,Fuel Transaction List,Fuel & Energy,P1,List/Grid,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-002,Add Diesel Entry,Fuel & Energy,P1,Transaction/Form,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-003,Add CNG Entry,Fuel & Energy,P1,Transaction/Form,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-004,Add LNG Entry,Fuel & Energy,P1,Transaction/Form,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-005,Add EV Charging Entry,Fuel & Energy,P1,Transaction/Form,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-006,Fuel Vendor Master,Fuel & Energy,P1,Master/Form,"fuel_vendor_station, vendor_master",Generated from BRD screen inventory
FE-007,Fuel Rate Master,Fuel & Energy,P1,Master/Form,fuel_rate_master,Generated from BRD screen inventory
FE-008,Fuel Card Management,Fuel & Energy,P1,Detail/Workbench,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-009,Planned Fuel Setup,Fuel & Energy,P1,Master/Form,route_fuel_norm,Generated from BRD screen inventory
FE-010,Planned vs Actual Fuel,Fuel & Energy,P1,Detail/Workbench,route_fuel_norm,Generated from BRD screen inventory
FE-011,Fuel Variance Approval,Fuel & Energy,P1,Approval,"fuel_variance, fuel_transaction",Generated from BRD screen inventory
FE-012,Fuel Bill Upload,Fuel & Energy,P1,Transaction/Form,"vendor_invoice, fuel_transaction, payable_validation",Generated from BRD screen inventory
FE-013,Fuel Bill Validation,Fuel & Energy,P1,Detail/Workbench,"vendor_invoice, fuel_transaction, payable_validation",Generated from BRD screen inventory
FE-014,Fuel Cost Report,Fuel & Energy,P1,Report/View,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-015,Fuel Exception Report,Fuel & Energy,P1,Report/View,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-016,Bulk Fuel Purchase,Fuel & Energy,P1,Detail/Workbench,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-017,Fuel Division,Fuel & Energy,P1,Detail/Workbench,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
FE-018,Fuel Division Post,Fuel & Energy,P1,Detail/Workbench,"fuel_transaction, vehicle_master",Generated from BRD screen inventory
SM-001,Maintenance Schedule List,Scheduled Maintenance,P2,List/Grid,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-002,Create Maintenance Schedule,Scheduled Maintenance,P2,Transaction/Form,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-003,Edit Maintenance Schedule,Scheduled Maintenance,P2,Detail/Workbench,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-004,Vehicle Maintenance Calendar,Scheduled Maintenance,P2,Detail/Workbench,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-005,PM Due List,Scheduled Maintenance,P2,List/Grid,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-006,PM Overdue List,Scheduled Maintenance,P2,List/Grid,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-007,Create PM Job Card,Scheduled Maintenance,P2,Transaction/Form,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-008,PM Checklist,Scheduled Maintenance,P2,List/Grid,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-009,PM Completion,Scheduled Maintenance,P2,Detail/Workbench,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-010,PM Deferral Approval,Scheduled Maintenance,P2,Approval,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
SM-011,PM Compliance Report,Scheduled Maintenance,P2,Report/View,"maintenance_schedule, maintenance_due, job_card",Generated from BRD screen inventory
UM-001,Breakdown List,Unscheduled Maintenance,P2,List/Grid,"breakdown_event, job_card",Generated from BRD screen inventory
UM-002,Report Breakdown,Unscheduled Maintenance,P2,Report/View,"breakdown_event, job_card",Generated from BRD screen inventory
UM-003,Breakdown Detail,Unscheduled Maintenance,P2,Detail/Workbench,"breakdown_event, job_card",Generated from BRD screen inventory
UM-004,Breakdown Assignment,Unscheduled Maintenance,P2,Detail/Workbench,"breakdown_event, job_card",Generated from BRD screen inventory
UM-005,Roadside Repair Entry,Unscheduled Maintenance,P2,Transaction/Form,"breakdown_event, job_card",Generated from BRD screen inventory
UM-006,Breakdown Cost Entry,Unscheduled Maintenance,P2,Transaction/Form,"breakdown_event, job_card",Generated from BRD screen inventory
UM-007,Breakdown Closure,Unscheduled Maintenance,P2,Detail/Workbench,"breakdown_event, job_card",Generated from BRD screen inventory
UM-008,Accident List,Unscheduled Maintenance,P2,List/Grid,"accident_event, job_card",Generated from BRD screen inventory
UM-009,Report Accident,Unscheduled Maintenance,P2,Report/View,"accident_event, job_card",Generated from BRD screen inventory
UM-010,Accident Detail,Unscheduled Maintenance,P2,Detail/Workbench,"accident_event, job_card",Generated from BRD screen inventory
UM-011,Accident Repair Job Card,Unscheduled Maintenance,P2,Detail/Workbench,"accident_event, job_card",Generated from BRD screen inventory
UM-012,Insurance Claim Tracker,Unscheduled Maintenance,P2,Detail/Workbench,"accident_event, job_card",Generated from BRD screen inventory
UM-013,Vehicle Defect Report,Unscheduled Maintenance,P2,Report/View,"breakdown_event, job_card",Generated from BRD screen inventory
UM-014,Defect Approval,Unscheduled Maintenance,P2,Approval,"breakdown_event, job_card",Generated from BRD screen inventory
UM-015,Repeat Breakdown Report,Unscheduled Maintenance,P2,Report/View,"breakdown_event, job_card",Generated from BRD screen inventory
WS-001,Workshop List,Workshop,P1,List/Grid,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
WS-002,Add Workshop,Workshop,P1,Transaction/Form,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
WS-003,Edit Workshop,Workshop,P1,Detail/Workbench,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
WS-004,Workshop Detail View,Workshop,P1,Detail/Workbench,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
WS-005,Workshop Service Category,Workshop,P1,Detail/Workbench,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
WS-006,Workshop Rate Contract,Workshop,P1,Detail/Workbench,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
WS-007,Workshop Approval Status,Workshop,P1,Approval,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
WS-008,Workshop Performance View,Workshop,P1,Detail/Workbench,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
WS-009,Workshop Document Upload,Workshop,P1,Transaction/Form,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
WS-010,Workshop Vendor Ledger,Workshop,P1,Detail/Workbench,"workshop_master, workshop_rate_contract",Generated from BRD screen inventory
JC-001,Job Card List,Job Card,P1,List/Grid,"job_card, job_card_line",Generated from BRD screen inventory
JC-002,Create Job Card,Job Card,P1,Transaction/Form,"job_card, job_card_line",Generated from BRD screen inventory
JC-003,Job Card Detail,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-004,Job Card Diagnosis,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-005,Job Card Estimate,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-006,Job Card Approval,Job Card,P1,Approval,"job_card, job_card_line",Generated from BRD screen inventory
JC-007,Assign Mechanic / Workshop,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-008,Parts Request,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-009,Consumables Request,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-010,Tyre Request,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-011,Accessory Request,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-012,Work Progress Update,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-013,Before / After Photos,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-014,Quality Check,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-015,Vehicle Release,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-016,Job Card Closure,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-017,Reopen Job Card,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
JC-018,Job Card Print / PDF,Job Card,P1,Detail/Workbench,"job_card, job_card_line",Generated from BRD screen inventory
WI-001,Workshop Invoice List,Workshop Invoice,P2,List/Grid,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-002,Add Workshop Invoice,Workshop Invoice,P2,Transaction/Form,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-003,Invoice Upload with OCR,Workshop Invoice,P2,Transaction/Form,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-004,Invoice Detail View,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-005,Job Card vs Invoice Match,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-006,Estimate vs Invoice Match,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-007,Rate Contract Validation,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-008,Duplicate Invoice Check,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-009,GST / Tax Validation,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-010,Payable Exception View,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-011,Invoice Approval,Workshop Invoice,P2,Approval,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-012,Invoice Hold / Dispute,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-013,Invoice Posting to Accounts,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-014,Workshop Payment Status,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
WI-015,Invoice Audit Trail,Workshop Invoice,P2,Detail/Workbench,"vendor_invoice, invoice_line, payable_validation",Generated from BRD screen inventory
TY-001,Tyre Dashboard,Tyre,P1,Dashboard,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-002,Tyre List,Tyre,P1,List/Grid,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-003,Add Tyre,Tyre,P1,Transaction/Form,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-004,Tyre Detail View,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-005,Tyre Purchase Entry,Tyre,P1,Transaction/Form,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-006,Tyre GRN,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-007,Tyre Invoice Validation,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-008,Tyre Fitment,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-009,Tyre Removal,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-010,Tyre Rotation Plan,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-011,Tyre Rotation Execution,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-012,Tyre Position View,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-013,Tyre Inspection,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-014,Tyre Repair Entry,Tyre,P1,Transaction/Form,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-015,Tyre Retreading Entry,Tyre,P1,Transaction/Form,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-016,Tyre Repair / Retread Return,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-017,Dead Tyre Entry,Tyre,P1,Transaction/Form,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-018,Tyre Scrap Approval,Tyre,P1,Approval,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-019,Tyre Disposal Entry,Tyre,P1,Transaction/Form,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-020,Tyre Transfer,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-021,Tyre Warranty Claim,Tyre,P1,Detail/Workbench,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-022,Tyre Cost per KM Report,Tyre,P1,Report/View,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-023,Premature Tyre Failure Report,Tyre,P1,Report/View,"tyre_master, tyre_movement",Generated from BRD screen inventory
TY-024,Tyre Lifecycle Report,Tyre,P1,Report/View,"tyre_master, tyre_movement",Generated from BRD screen inventory
CO-001,Consumable Item List,Consumables,P2,List/Grid,"item_master, stock_ledger",Generated from BRD screen inventory
CO-002,Add Consumable Item,Consumables,P2,Transaction/Form,"item_master, stock_ledger",Generated from BRD screen inventory
CO-003,Consumable Stock View,Consumables,P2,Detail/Workbench,"item_master, stock_ledger",Generated from BRD screen inventory
CO-004,Consumable Issue,Consumables,P2,Detail/Workbench,"item_master, stock_ledger",Generated from BRD screen inventory
CO-005,Consumable Return,Consumables,P2,Detail/Workbench,"item_master, stock_ledger",Generated from BRD screen inventory
CO-006,Consumable Consumption Norm,Consumables,P2,Detail/Workbench,"item_master, stock_ledger",Generated from BRD screen inventory
CO-007,Abnormal Consumption Report,Consumables,P2,Report/View,"item_master, stock_ledger",Generated from BRD screen inventory
CO-008,Consumable Invoice Validation,Consumables,P2,Detail/Workbench,"item_master, stock_ledger",Generated from BRD screen inventory
CO-009,Consumable Cost Report,Consumables,P2,Report/View,"item_master, stock_ledger",Generated from BRD screen inventory
AC-001,Accessory Dashboard,Accessories,P1,Dashboard,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-002,Accessory List,Accessories,P1,List/Grid,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-003,Add Accessory,Accessories,P1,Transaction/Form,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-004,Accessory Detail View,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-005,Accessory Category Master,Accessories,P1,Master/Form,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-006,Accessory Installation,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-007,Accessory Removal,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-008,Accessory Transfer,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-009,Accessory Health View,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-010,Camera Health Screen,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-011,ADAS Health Screen,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-012,GPS / AIS-140 Device Health,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-013,OBD / CAN Device Health,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-014,Accessory Repair Job Card,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-015,Accessory Warranty Claim,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-016,Accessory Invoice Validation,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-017,Accessory Offline Exception,Accessories,P1,Detail/Workbench,"accessory_master, accessory_event",Generated from BRD screen inventory
AC-018,Accessory Lifecycle Report,Accessories,P1,Report/View,"accessory_master, accessory_event",Generated from BRD screen inventory
MA-001,Accompaniment Dashboard,Mandatory Accompaniments,P1,Dashboard,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-002,Accompaniment Master,Mandatory Accompaniments,P1,Master/Form,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-003,Tarpaulin Master,Mandatory Accompaniments,P1,Master/Form,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-004,Seal Master,Mandatory Accompaniments,P1,Master/Form,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-005,OTP Lock Master,Mandatory Accompaniments,P1,Master/Form,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-006,Safety Kit Master,Mandatory Accompaniments,P1,Master/Form,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-007,Issue Accompaniment,Mandatory Accompaniments,P1,Detail/Workbench,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-008,Return Accompaniment,Mandatory Accompaniments,P1,Detail/Workbench,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-009,Seal Capture at Loading,Mandatory Accompaniments,P1,Transaction/Form,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-010,Seal Capture at Unloading,Mandatory Accompaniments,P1,Transaction/Form,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-011,OTP Lock Assignment,Mandatory Accompaniments,P1,Detail/Workbench,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-012,OTP Unlock Confirmation,Mandatory Accompaniments,P1,Transaction/Form,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-013,Tarpaulin Condition Check,Mandatory Accompaniments,P1,Detail/Workbench,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-014,Missing Accompaniment Exception,Mandatory Accompaniments,P1,Detail/Workbench,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-015,Accompaniment Damage / Loss,Mandatory Accompaniments,P1,Detail/Workbench,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-016,Accompaniment Recovery Report,Mandatory Accompaniments,P1,Report/View,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
MA-017,Accompaniment Cost Report,Mandatory Accompaniments,P1,Report/View,"accompaniment_master, accompaniment_issue",Generated from BRD screen inventory
SC-001,Compliance Register,Compliance,P1,List/Grid,"asset_compliance, compliance_type_master, compliance_alert",Generated from BRD screen inventory
SC-002,Add Compliance Document,Compliance,P1,Transaction/Form,"asset_compliance, compliance_type_master, compliance_alert",Generated from BRD screen inventory
